species,average_precision_autogluon,average_precision_linear_probe,auroc_autogluon,auroc_linear_probe,delta_ap
Geotrygon montana,1.0,0.5833333333333333,1.0,0.999895178197065,0.41666666666666674
Dicaeum agile,0.33142593023222433,0.055974993459437794,0.9930264261744967,0.9934109340044743,0.27545093677278654
Chamaeza campanisona,0.4034788732087579,0.13125259217875432,0.9947317505274078,0.9946967842698463,0.27222628103000357
Turdus iliacus,0.4997394654033278,0.24634468825699937,0.9763265520134228,0.9849342841163311,0.2533947771463284
Myioborus ornatus,0.48620516269508307,0.24753590004280593,0.9927434309506316,0.9966971064693328,0.23866926265227714
Columba oenas,0.337030191004313,0.11406075202439123,0.9642520180312402,0.9607925359052312,0.22296943897992175
Poecilotriccus plumbeiceps,0.31661733226820576,0.10305986696230601,0.9886337422669603,0.993939393939394,0.21355746530589975
Trogon rufus,1.0,0.8333333333333333,1.0,0.9999475890985324,0.16666666666666674
Passer hispaniolensis,0.6676309868209578,0.5013297872340425,0.9655274836635567,0.9737568578117902,0.16630119958691525
Meiglyptes tristis,0.5311144687763537,0.3836322137482296,0.9903936969736109,0.9960686810303769,0.14748225502812412
Myiothlypis leucoblephara,0.34754508246316695,0.20139208624520422,0.9946677862915924,0.9958433924635247,0.14615299621796274
Taraba major,0.3822064082060336,0.2487391994989734,0.9173870701925237,0.9411191849576748,0.13346720870706016
Ciconia ciconia,0.2868085276663288,0.1534574999987293,0.953044761103937,0.969154479113487,0.13335102766759951
Motacilla alba,0.44906609814224596,0.32379080942721916,0.9979088000839103,0.9960667086217746,0.1252752887150268
Nycticorax nycticorax,0.8166666666666667,0.6916666666666667,0.9997378905430908,0.9994233591947997,0.125
Corvus monedula,0.45,0.325,0.9997903563941299,0.9996855345911949,0.125
Anabacerthia lichtensteini,0.2542857142857143,0.13329264798578877,0.9876481073712907,0.9912760826255635,0.12099306629992551
Columba larvata,0.7,0.5833333333333333,0.9998689727463311,0.999895178197065,0.1166666666666667
