species,target_pos,n_train,n_train_pos,n_test_pos,n_test,model,accuracy,f1,average_precision,auroc
Acrocephalus arundinaceus,5,20,5,53,9542,linear_probe,0.9916160134143785,0.5698924731182796,0.6814349535343085,0.9981706722978145
Acrocephalus arundinaceus,5,20,5,53,9542,autogluon,0.9954936072102285,0.6260869565217392,0.5564479980928809,0.9965869119556507
Acrocephalus arundinaceus,25,100,25,53,9542,linear_probe,0.9897296164326137,0.5196078431372549,0.6533461904041772,0.998256173483895
Acrocephalus arundinaceus,25,100,25,53,9542,autogluon,0.9946552085516663,0.6433566433566433,0.6773871374821975,0.9978624703479898
Acrocephalus arundinaceus,100,400,100,53,9542,linear_probe,0.9920352127436596,0.5777777777777777,0.650519464369695,0.9981806142961961
Acrocephalus arundinaceus,100,400,100,53,9542,autogluon,0.9943408090547056,0.64,0.7207407702387966,0.9978525283496084
Acrocephalus scirpaceus,5,20,5,49,9542,linear_probe,0.9941312093900649,0.5692307692307692,0.6149117324988009,0.9928174788297285
Acrocephalus scirpaceus,5,20,5,49,9542,autogluon,0.9962272060364703,0.5135135135135135,0.5530714913247201,0.9749525429048685
Acrocephalus scirpaceus,25,100,25,49,9542,linear_probe,0.9915112135820583,0.4968944099378882,0.6373167552394641,0.9933162351636114
Acrocephalus scirpaceus,25,100,25,49,9542,autogluon,0.9955984070425488,0.625,0.6130130954560726,0.9857843695784434
Acrocephalus scirpaceus,100,400,100,49,9542,linear_probe,0.9895200167679732,0.4897959183673469,0.6166273412139627,0.9974675217184735
Acrocephalus scirpaceus,100,400,100,49,9542,autogluon,0.9888912177740515,0.4752475247524752,0.6471642906585677,0.9970902297503854
Actitis hypoleucos,5,20,5,1,9542,linear_probe,0.9893104171033327,0.019230769230769232,1.0,1.0
Actitis hypoleucos,5,20,5,1,9542,autogluon,0.9990568015091176,0.18181818181818182,0.5,0.9998951891835238
Aegithalos caudatus,5,20,5,11,9542,linear_probe,0.9849088241458813,0.1111111111111111,0.7026997245179064,0.9916731049875526
Aegithalos caudatus,5,20,5,11,9542,autogluon,0.9992664011737581,0.5333333333333333,0.5731103687173843,0.9945345809368473
Aegithalos caudatus,25,100,25,11,9542,linear_probe,0.8333682666107735,0.013647642679900745,0.6616215843533889,0.9984548029873809
Aegithalos caudatus,25,100,25,11,9542,autogluon,0.9950744078809474,0.29850746268656714,0.7120987199934569,0.9982401922911838
Aegithina lafresnayei,5,20,5,29,9542,linear_probe,0.9772584363865018,0.18726591760299627,0.16463291883439798,0.9894409465087702
Aegithina lafresnayei,5,20,5,29,9542,autogluon,0.9960176063718298,0.05,0.1278079117835525,0.9823218318308521
Aegithina lafresnayei,25,100,25,29,9542,linear_probe,0.9725424439320897,0.18125,0.1898123238414933,0.9906480061766657
