species,target_pos,model,mean_ap,std_ap,mean_auroc,std_auroc,mean_f1,mean_n_train,mean_n_train_pos
Dicrurus paradiseus,1000,autogluon,0.7804968848427533,0.007682667972317213,0.9854325854384985,0.00131460865332146,0.6724077636232689,4000.0,1000.0
Dicrurus paradiseus,1000,linear_probe,0.7256737191472049,0.012253352215293212,0.9813271136515445,0.0008754541419636496,0.5838427825651917,4000.0,1000.0
Dicrurus paradiseus,2500,autogluon,0.8527416551152627,,0.9884463716697874,,0.7133396404919584,6988.0,1747.0
Dicrurus paradiseus,2500,linear_probe,0.7720609146665827,,0.984341644492625,,0.6041189931350115,6988.0,1747.0
Dicrurus paradiseus,5000,autogluon,0.8527416551152627,,0.9884463716697874,,0.7133396404919584,6988.0,1747.0
Dicrurus paradiseus,5000,linear_probe,0.7720609146665827,,0.984341644492625,,0.6041189931350115,6988.0,1747.0
Erithacus rubecula,1000,autogluon,0.7116396452004619,0.006433262537454426,0.9761535711860204,0.000552811755601348,0.5678500822917828,4000.0,1000.0
Erithacus rubecula,1000,linear_probe,0.695976586031744,0.008565909891613415,0.9736212264383406,0.0013193312152867042,0.5018169641575957,4000.0,1000.0
Erithacus rubecula,2500,autogluon,0.6658466756123897,,0.9738755089726473,,0.5764705882352941,6284.0,1571.0
Erithacus rubecula,2500,linear_probe,0.7072837475103536,,0.9748499248611182,,0.5079365079365079,6284.0,1571.0
Erithacus rubecula,5000,autogluon,0.6658466756123897,,0.9738755089726473,,0.5764705882352941,6284.0,1571.0
Erithacus rubecula,5000,linear_probe,0.7072837475103536,,0.9748499248611182,,0.5079365079365079,6284.0,1571.0
Fringilla coelebs,1000,autogluon,0.8452113818266288,0.01164604671767562,0.978414677834407,0.001183732508571397,0.7506979259284582,4000.0,1000.0
Fringilla coelebs,1000,linear_probe,0.8386229473309258,0.00285007062626466,0.9771073542833698,0.0005203174222958881,0.7007067885945832,4000.0,1000.0
Fringilla coelebs,2500,autogluon,0.8594018876643932,0.012261432399491257,0.9812027657288779,0.002021744458604452,0.7456773410272796,10000.0,2500.0
Fringilla coelebs,2500,linear_probe,0.8587375040457063,0.004509018791883306,0.9803049199567576,0.0007249420777517893,0.7110021638601696,10000.0,2500.0
Fringilla coelebs,5000,autogluon,0.8764576835233856,,0.9834167609796236,,0.765295887662989,13684.0,3421.0
Fringilla coelebs,5000,linear_probe,0.8633589073341879,,0.9809365395438896,,0.7151294865970014,13684.0,3421.0
Luscinia megarhynchos,1000,autogluon,0.7882964752324065,0.025223006325542054,0.9862410167889832,0.002033830843452963,0.6321855244942435,4000.0,1000.0
Luscinia megarhynchos,1000,linear_probe,0.7790387550693229,0.004639701817784721,0.9855296950852405,0.0006183707700182362,0.5848323503165553,4000.0,1000.0
Luscinia megarhynchos,2500,autogluon,0.7812518601825987,,0.9868392624431286,,0.6526315789473685,6048.0,1512.0
Luscinia megarhynchos,2500,linear_probe,0.7921805312133315,,0.9859893344612359,,0.5939597315436241,6048.0,1512.0
Luscinia megarhynchos,5000,autogluon,0.7812518601825987,,0.9868392624431286,,0.6526315789473685,6048.0,1512.0
Luscinia megarhynchos,5000,linear_probe,0.7921805312133315,,0.9859893344612359,,0.5939597315436241,6048.0,1512.0
Malacopteron magnirostre,1000,autogluon,0.9176843125693983,0.009446352308084313,0.9919137794079775,0.0006049873021643097,0.8454775688834496,4000.0,1000.0
Malacopteron magnirostre,1000,linear_probe,0.909704723763142,0.0024657772014737185,0.9895411697453934,0.0007195996916610795,0.8190566436102319,4000.0,1000.0
Malacopteron magnirostre,2500,autogluon,0.9489700752452029,0.01142993885628689,0.9948145798401078,0.0006685977646819522,0.8919243509526457,10000.0,2500.0
Malacopteron magnirostre,2500,linear_probe,0.9305483964732634,0.0027247733512192093,0.9922437416635607,0.0002587782139687245,0.8406580515347183,10000.0,2500.0
Malacopteron magnirostre,5000,autogluon,0.9671805033851083,,0.9968382646208128,,0.9074074074074074,14876.0,3719.0
Malacopteron magnirostre,5000,linear_probe,0.9427627963674815,,0.9936055763683984,,0.8590799031476998,14876.0,3719.0
Stachyris maculata,1000,autogluon,0.9076666239096025,0.0030043847453484515,0.9923267530319592,0.0009395784305522658,0.783661794076223,4000.0,1000.0
Stachyris maculata,1000,linear_probe,0.894651867612553,0.005623112269256524,0.9904237466965443,0.0004035231416599207,0.721607535736525,4000.0,1000.0
Stachyris maculata,2500,autogluon,0.9353844630307951,,0.995005543441489,,0.8290909090909091,8420.0,2105.0
Stachyris maculata,2500,linear_probe,0.9175574364752119,,0.9921369101649857,,0.7400950871632329,8420.0,2105.0
Stachyris maculata,5000,autogluon,0.9353844630307951,,0.995005543441489,,0.8290909090909091,8420.0,2105.0
Stachyris maculata,5000,linear_probe,0.9175574364752119,,0.9921369101649857,,0.7400950871632329,8420.0,2105.0
Sylvia atricapilla,1000,autogluon,0.7786756148729763,0.028112163922366876,0.983039044611311,0.002478544938299951,0.688859666864906,4000.0,1000.0
Sylvia atricapilla,1000,linear_probe,0.7869020331055813,0.0021880885256171326,0.9828503316865046,0.0009038242223207492,0.563839734768063,4000.0,1000.0
Sylvia atricapilla,2500,autogluon,0.80310058215393,,0.9832739079913756,,0.6618962432915921,6648.0,1662.0
Sylvia atricapilla,2500,linear_probe,0.7924045737584549,,0.9835404666553678,,0.5662299854439592,6648.0,1662.0
