species,target_pos,seed,n_train,n_train_pos,n_test_pos,n_test,model,accuracy,f1,precision,recall,average_precision,auroc
Fringilla coelebs,1000,0,4000,1000,847,9542,linear_probe,0.9287361140222176,0.6934174932371506,0.5609044493070752,0.9079102715466352,0.8353323637310174,0.9765378330175236
Fringilla coelebs,1000,0,4000,1000,847,9542,autogluon,0.9596520645566967,0.7852760736196319,0.7441860465116279,0.8311688311688312,0.8549387733047035,0.9789019595595998
Fringilla coelebs,1000,1,4000,1000,847,9542,linear_probe,0.9335569063089499,0.7094408799266728,0.5797752808988764,0.9138134592680047,0.8402241114331525,0.9772263911528902
Fringilla coelebs,1000,1,4000,1000,847,9542,autogluon,0.9431984908824146,0.7361246348588121,0.6263463131731566,0.8925619834710744,0.8483890662815937,0.9792769935903399
Fringilla coelebs,1000,2,4000,1000,847,9542,linear_probe,0.9316705093271851,0.6992619926199262,0.5738077214231643,0.8949232585596222,0.8403123668286077,0.9775578386796956
Fringilla coelebs,1000,2,4000,1000,847,9542,autogluon,0.9429888912177741,0.7306930693069307,0.629156010230179,0.8713105076741441,0.8323063058935891,0.9770650803532814
Fringilla coelebs,2500,0,10000,2500,847,9542,linear_probe,0.9330329071473485,0.7096774193548387,0.5768094534711965,0.922077922077922,0.8547951090457928,0.9795231690782948
Fringilla coelebs,2500,0,10000,2500,847,9542,autogluon,0.9419408928945714,0.7351816443594646,0.6176706827309237,0.9079102715466352,0.8654603539778141,0.9818657060436559
Fringilla coelebs,2500,1,10000,2500,847,9542,linear_probe,0.9342905051351917,0.7138293016887266,0.5818452380952381,0.9232585596221959,0.8636539335762592,0.9809550061000738
Fringilla coelebs,2500,1,10000,2500,847,9542,autogluon,0.9501152798155523,0.7586206896551724,0.6648888888888889,0.8831168831168831,0.8674548006867471,0.9828098087285708
Fringilla coelebs,2500,2,10000,2500,847,9542,linear_probe,0.9336617061412702,0.7094997705369436,0.5803303303303303,0.9126328217237308,0.8577634695150668,0.9804365846919039
