species,linear_probe_f1,autogluon_f1,delta
Oreolais pulcher,0.7878787878787878,0.875,0.08712121212121215
Apalis cinerea,0.8,0.8571428571428571,0.05714285714285705
Turdus philomelos,0.851063829787234,0.875,0.02393617021276595
Sylvia atricapilla,0.9491525423728814,0.9586776859504132,0.00952514357753187
Turdus merula,0.7272727272727273,0.7333333333333333,0.006060606060605989
Atlapetes schistaceus,1.0,1.0,0.0
Turdus rufiventris,1.0,1.0,0.0
Pogoniulus bilineatus,0.9803921568627451,0.9803921568627451,0.0
Turtur tympanistria,0.9777777777777777,0.9777777777777777,0.0
Erithacus rubecula,0.8,0.8,0.0
Cyornis rufigastra,1.0,1.0,0.0
Laniarius atroflavus,0.875,0.8484848484848485,-0.02651515151515149
Fringilla coelebs,0.9047619047619048,0.85,-0.05476190476190479
Phylloscopus collybita,0.9777777777777777,0.9166666666666666,-0.061111111111111116
Euplectes capensis,0.8292682926829268,0.7619047619047619,-0.06736353077816493
Cisticola chubbi,0.875,0.8,-0.07499999999999996
Cinnyris reichenowi,0.9655172413793104,0.8888888888888888,-0.07662835249042155
Luscinia megarhynchos,1.0,0.9090909090909091,-0.09090909090909094
Cinnyris bouvieri,0.9361702127659575,0.84,-0.0961702127659575
