frac,seed,n_train,model,accuracy,macro_f1,best_model,n_models_trained
0.1,0,144,linear_probe,0.8396739130434783,0.782667438288139,,
0.1,0,144,autogluon,0.7608695652173914,0.6783132868960099,NeuralNetTorch,6.0
0.1,1,144,linear_probe,0.8179347826086957,0.7636525776747106,,
0.1,1,144,autogluon,0.7608695652173914,0.6610417646007811,WeightedEnsemble_L2,6.0
0.1,2,144,linear_probe,0.8396739130434783,0.7920226841738445,,
0.1,2,144,autogluon,0.7771739130434783,0.7036749090524351,WeightedEnsemble_L2,6.0
0.25,0,363,linear_probe,0.9021739130434783,0.8700743087013648,,
0.25,0,363,autogluon,0.8695652173913043,0.8176220908702132,NeuralNetTorch,6.0
0.25,1,363,linear_probe,0.8858695652173914,0.851367967783926,,
0.25,1,363,autogluon,0.8288043478260869,0.7801308532342484,NeuralNetTorch,6.0
0.25,2,363,linear_probe,0.8858695652173914,0.8544823304206816,,
0.25,2,363,autogluon,0.845108695652174,0.7889389481878781,NeuralNetTorch,6.0
0.5,0,728,linear_probe,0.904891304347826,0.8879650634463508,,
0.5,0,728,autogluon,0.8858695652173914,0.8519626239053274,WeightedEnsemble_L2,6.0
0.5,1,728,linear_probe,0.907608695652174,0.8881191047228743,,
0.5,1,728,autogluon,0.8478260869565217,0.8059100054480792,NeuralNetTorch,6.0
0.5,2,728,linear_probe,0.907608695652174,0.8852301514826986,,
0.5,2,728,autogluon,0.8695652173913043,0.8350309399465722,NeuralNetTorch,6.0
1.0,0,1456,linear_probe,0.9211956521739131,0.9072122763852648,,
1.0,0,1456,autogluon,0.904891304347826,0.8880189413738527,NeuralNetTorch,6.0
